rank,pri_sch_name,latitude,longitude
53,SHUQUN PRIMARY SCHOOL,1.34765311431632,103.721523713379
54,FENGSHAN PRIMARY SCHOOL,1.32980598760785,103.931710293058
55,CHIJ OUR LADY OF THE NATIVITY,1.37330297140128,103.897575728303
56,XISHAN PRIMARY SCHOOL,1.43347186925064,103.837755319448
57,CHUA CHU KANG PRIMARY SCHOOL,1.37775890093367,103.741832917421
58,XINMIN PRIMARY SCHOOL,1.37139548941931,103.883080767491
59,RIVER VALLEY PRIMARY SCHOOL,1.2942232846169,103.835815165829
60,TELOK KURAU PRIMARY SCHOOL,1.33104585441349,103.910934011337
61,YU NENG PRIMARY SCHOOL,1.33388930344069,103.932144857355
62,NAN CHIAU PRIMARY SCHOOL,1.39221149906592,103.891180928186
63,FRONTIER PRIMARY SCHOOL,1.33641298743234,103.69970173931
64,COMPASSVALE PRIMARY SCHOOL,1.39444529636566,103.897812229905
65,WOODGROVE PRIMARY SCHOOL,1.43310340168966,103.790604437613
66,XINGNAN PRIMARY SCHOOL,1.34254744877694,103.687950252103
67,LAKESIDE PRIMARY SCHOOL,1.33820397704287,103.718089546664
68,ELIAS PARK PRIMARY SCHOOL,1.37451269377776,103.945128117139
69,NGEE ANN PRIMARY SCHOOL,1.30552505910497,103.917463017497
70,ZHENGHUA PRIMARY SCHOOL,1.37954887512229,103.769313521752
71,SAINT ANDREW'S JUNIOR SCHOOL,1.33140255308868,103.865117134385
72,NORTH VIEW PRIMARY SCHOOL,1.42752327193727,103.848190787869
73,WESTWOOD PRIMARY SCHOOL,1.34718456606375,103.70053420978
74,EAST SPRING PRIMARY SCHOOL,1.35268400746357,103.961676849165
75,WHITE SANDS PRIMARY SCHOOL,1.36555714668553,103.960918869319
76,SAINT ANTHONY'S PRIMARY SCHOOL,1.36411948475833,103.749251919049
77,ZHANGDE PRIMARY SCHOOL,1.28421153335379,103.825951875662
78,SENGKANG GREEN PRIMARY SCHOOL,1.39284606680477,103.875217666486
79,GEYLANG METHODIST SCHOOL (PRIMARY),1.31759126757284,103.883845744916
80,YEW TEE PRIMARY SCHOOL,1.39676600905037,103.750985967346
81,SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.3347253730189,103.941234868202
82,WOODLANDS RING PRIMARY SCHOOL,1.43495229315857,103.797435733144
