address,nearest_pri_sch,nearest_pri_sch_dist
275A BISHAN STREET 24,CATHOLIC HIGH SCHOOL,0.2688128319314044
214 BISHAN STREET 23,CATHOLIC HIGH SCHOOL,0.49069343662454645
182 BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.1969642605321941
448 BRIGHT HILL DRIVE,AI TONG SCHOOL,0.29872972373101453
402 SIN MING AVENUE,AI TONG SCHOOL,0.24339829389105103
128 BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,0.1316827820001609
303 SHUNFU ROAD,CATHOLIC HIGH SCHOOL,0.8985077706704538
134 BISHAN STREET 12,GUANGYANG PRIMARY SCHOOL,0.3188852011784254
342 BUKIT BATOK STREET 34,ST. ANTHONY'S PRIMARY SCHOOL,0.19006828027184205
530 BUKIT BATOK STREET 51,LIANHUA PRIMARY SCHOOL,0.4037327976109715
145 BUKIT BATOK STREET 11,PRINCESS ELIZABETH PRIMARY SCHOOL,0.34558284676059553
528 BUKIT BATOK STREET 51,DAZHONG PRIMARY SCHOOL,0.40398144775364886
537 BUKIT BATOK STREET 52,LIANHUA PRIMARY SCHOOL,0.3785360779447758
213 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.16783682286411164
219 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.2102513239934372
235 BUKIT BATOK EAST AVENUE 5,KEMING PRIMARY SCHOOL,0.32716898866664024
130 BUKIT BATOK WEST AVENUE 6,PRINCESS ELIZABETH PRIMARY SCHOOL,0.6082159521238969
212 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.21845537897958406
346 BUKIT BATOK STREET 34,ST. ANTHONY'S PRIMARY SCHOOL,0.23696708167354028
226 BUKIT BATOK CENTRAL,BUKIT VIEW PRIMARY SCHOOL,0.322349874907645
247 BUKIT BATOK EAST AVENUE 5,KEMING PRIMARY SCHOOL,0.49020040780710544
169 BUKIT BATOK WEST AVENUE 8,PRINCESS ELIZABETH PRIMARY SCHOOL,0.28646738470247396
154 BUKIT BATOK STREET 11,PRINCESS ELIZABETH PRIMARY SCHOOL,0.3974777878347723
260 BUKIT BATOK EAST AVENUE 4,LIANHUA PRIMARY SCHOOL,0.6539477717841634
360 BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,0.3178208438489752
217 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.1526025268628013
178 BUKIT BATOK WEST AVENUE 8,YUHUA PRIMARY SCHOOL,0.3965002834742415
265 BUKIT BATOK EAST AVENUE 4,KEMING PRIMARY SCHOOL,0.6243153868428484
134 BUKIT BATOK WEST AVENUE 6,PRINCESS ELIZABETH PRIMARY SCHOOL,0.4984553228954247
301 BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,0.26863251641476577
289E BUKIT BATOK STREET 25,KEMING PRIMARY SCHOOL,0.33966821247395274
244 BUKIT BATOK EAST AVENUE 5,KEMING PRIMARY SCHOOL,0.41351331161106847
248 BUKIT BATOK EAST AVENUE 5,LIANHUA PRIMARY SCHOOL,0.5173822616931053
290D BUKIT BATOK EAST AVENUE 3,KEMING PRIMARY SCHOOL,0.17798636254483827
395 BUKIT BATOK WEST AVENUE 5,ST. ANTHONY'S PRIMARY SCHOOL,0.4135381688744277
642 BUKIT BATOK CENTRAL,BUKIT VIEW PRIMARY SCHOOL,0.4106068094417981
185 BUKIT BATOK WEST AVENUE 6,PRINCESS ELIZABETH PRIMARY SCHOOL,0.5229693556581761
106 BUKIT BATOK CENTRAL,PRINCESS ELIZABETH PRIMARY SCHOOL,0.7280832278951913
210 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.4151696569233014
386 BUKIT BATOK WEST AVENUE 5,ST. ANTHONY'S PRIMARY SCHOOL,0.3686305846971135
394 BUKIT BATOK WEST AVENUE 5,ST. ANTHONY'S PRIMARY SCHOOL,0.457070183319122
190 BUKIT BATOK WEST AVENUE 6,YUHUA PRIMARY SCHOOL,0.6196543960683318
206 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.48514479174449593
1F CANTONMENT ROAD,ZHANGDE PRIMARY SCHOOL,1.924881547188492
211 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.367537772533116
391 BUKIT BATOK WEST AVENUE 5,ST. ANTHONY'S PRIMARY SCHOOL,0.42988995017648457
205 BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,0.42528333871128093
193 BUKIT BATOK WEST AVENUE 6,YUHUA PRIMARY SCHOOL,0.5119905090694213
624 BUKIT BATOK CENTRAL,LIANHUA PRIMARY SCHOOL,0.6096189333633516
290A BUKIT BATOK STREET 24,KEMING PRIMARY SCHOOL,0.25070156242578834
141 BUKIT BATOK STREET 11,PRINCESS ELIZABETH PRIMARY SCHOOL,0.31005152511393064
120 BUKIT BATOK CENTRAL,LIANHUA PRIMARY SCHOOL,0.7999659653298502
289A BUKIT BATOK STREET 25,KEMING PRIMARY SCHOOL,0.4671616874003123
10 JALAN BUKIT HO SWEE,ZHANGDE PRIMARY SCHOOL,0.8301492860844228
2 JALAN BUKIT HO SWEE,ZHANGDE PRIMARY SCHOOL,0.7417555402246923
45 TELOK BLANGAH DRIVE,BLANGAH RISE PRIMARY SCHOOL,0.49350618532216856
36 BEO CRESCENT,ALEXANDRA PRIMARY SCHOOL,0.44050677296073726
20 TELOK BLANGAH CRESCENT,ZHANGDE PRIMARY SCHOOL,0.9286896181600964
16 TAMAN HO SWEE,ZHANGDE PRIMARY SCHOOL,0.7569732359462975
32 TELOK BLANGAH RISE,ZHANGDE PRIMARY SCHOOL,1.3149564918589003
33 TELOK BLANGAH WAY,ZHANGDE PRIMARY SCHOOL,1.1670835935913098
142 JALAN BUKIT MERAH,ZHANGDE PRIMARY SCHOOL,0.8302309836640045
131 JALAN BUKIT MERAH,ZHANGDE PRIMARY SCHOOL,0.5091462619997466
30 JALAN KLINIK,ZHANGDE PRIMARY SCHOOL,0.45718374013107455
1B CANTONMENT ROAD,ZHANGDE PRIMARY SCHOOL,1.8604649101208246
63 TELOK BLANGAH HEIGHTS,BLANGAH RISE PRIMARY SCHOOL,0.29429347794923855
61 TELOK BLANGAH HEIGHTS,BLANGAH RISE PRIMARY SCHOOL,0.37889548622070224
116 BUKIT MERAH VIEW,ZHANGDE PRIMARY SCHOOL,0.5024645059714733
44 TELOK BLANGAH DRIVE,BLANGAH RISE PRIMARY SCHOOL,0.5785009985738281
