address,nearest_mrt,nearest_mrt_dist
528 BEDOK NORTH STREET 3,BEDOK RESERVOIR MRT STATION,0.5244680013045364
534 BEDOK NORTH STREET 3,BEDOK NORTH MRT STATION,0.7837677989293014
77 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.512492310749065
116 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.43497572540842566
18 BEDOK SOUTH ROAD,TANAH MERAH MRT STATION,1.482611792170324
40 CHAI CHEE AVENUE,BEDOK RESERVOIR MRT STATION,1.3318255121248541
57 NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION,0.6229722368196027
105 BEDOK NORTH AVENUE 4,BEDOK RESERVOIR MRT STATION,0.5736714908932422
709 BEDOK RESERVOIR ROAD,BEDOK NORTH MRT STATION,0.4923352407576397
42 CHAI CHEE STREET,BEDOK NORTH MRT STATION,1.148190662577246
55 CHAI CHEE DRIVE,BEDOK NORTH MRT STATION,0.8804364379456543
2 BEDOK SOUTH AVENUE 1,TANAH MERAH MRT STATION,1.5917611790362327
37 CHAI CHEE AVENUE,BEDOK NORTH MRT STATION,1.377214219641371
231 BISHAN STREET 23,BISHAN MRT STATION,0.7543288837796983
425 BEDOK NORTH ROAD,BEDOK RESERVOIR MRT STATION,0.8745710295726148
117 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.9545019445628965
423 BEDOK NORTH AVENUE 1,BEDOK RESERVOIR MRT STATION,1.0868113357988498
533 BEDOK NORTH STREET 3,BEDOK NORTH MRT STATION,0.706455944162185
149 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.48903801204984065
35 BEDOK SOUTH AVENUE 2,TANAH MERAH MRT STATION,0.9083651317466488
42 BEDOK SOUTH ROAD,TANAH MERAH MRT STATION,0.8893385497379652
34 BEDOK SOUTH AVENUE 2,TANAH MERAH MRT STATION,1.0553411621797846
7 BEDOK SOUTH AVENUE 2,TANAH MERAH MRT STATION,1.3054517316679524
8 BEDOK SOUTH AVENUE 2,TANAH MERAH MRT STATION,1.2433905690589975
80 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.6544747055563318
78 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.6122940309393474
135 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.49544935381598
148 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.38578691322078384
81 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.675465708598876
142 BEDOK RESERVOIR ROAD,BEDOK NORTH MRT STATION,0.533449909398547
124 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.8445337343670715
705 BEDOK NORTH ROAD,BEDOK NORTH MRT STATION,0.23813317692135108
129 KIM TIAN ROAD,TIONG BAHRU MRT STATION,0.5945681853293212
554 BEDOK NORTH STREET 3,BEDOK RESERVOIR MRT STATION,0.6319926243465388
602 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.7119538846853964
508 BEDOK NORTH AVENUE 3,BEDOK RESERVOIR MRT STATION,0.3561036909891505
720 BEDOK RESERVOIR ROAD,BEDOK NORTH MRT STATION,0.7805829350262699
765 BEDOK RESERVOIR VIEW,BEDOK RESERVOIR MRT STATION,0.42413387023487803
10 CHAI CHEE ROAD,BEDOK NORTH MRT STATION,1.1219966090387345
185 BEDOK NORTH ROAD,TANAH MERAH MRT STATION,0.6235163756446122
111 LENGKONG TIGA,KEMBANGAN MRT STATION,0.3808657620806948
220B BEDOK CENTRAL,BEDOK RESERVOIR MRT STATION,1.2530567767807033
603 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.7072503121132098
21 CHAI CHEE ROAD,BEDOK NORTH MRT STATION,1.107862513161399
672 JALAN DAMAI,KAKI BUKIT MRT STATION,0.32107874443897666
415 BEDOK NORTH AVENUE 2,BEDOK RESERVOIR MRT STATION,0.8001230975403048
763 BEDOK RESERVOIR VIEW,BEDOK RESERVOIR MRT STATION,0.29499392181496714
805 CHAI CHEE ROAD,KEMBANGAN MRT STATION,1.0313454844825547
723 BEDOK RESERVOIR ROAD,BEDOK RESERVOIR MRT STATION,0.36647756565758244
722 BEDOK RESERVOIR ROAD,BEDOK RESERVOIR MRT STATION,0.44828040791689905
219C BEDOK CENTRAL,BEDOK RESERVOIR MRT STATION,1.3072976634074487
640 BEDOK RESERVOIR ROAD,KAKI BUKIT MRT STATION,0.5027609970368802
160 BEDOK SOUTH AVENUE 3,TANAH MERAH MRT STATION,0.8858011990079091
94C BEDOK NORTH AVENUE 4,TANAH MERAH MRT STATION,0.8225305751811975
22 SIN MING ROAD,UPPER THOMSON MRT STATION,0.7898414348133528
407 SIN MING AVENUE,BRIGHT HILL MRT STATION,0.14825137640296465
105 BISHAN STREET 12,BRADDELL MRT STATION,0.603268697575403
